,San Francisco,Sacramento,Chicago,New York
2023-01-01 00:00:00,7.2,0.0,-12.2,-4.4
2023-01-01 00:10:00,7.200000000000001,0.0,-12.200000000000001,-4.4
2023-01-01 00:20:00,7.2,0.0,-12.2,-4.4
2023-01-01 00:30:00,7.2,0.0,-12.2,-4.4
2023-01-01 00:40:00,7.199999999999999,0.0,-12.2,-4.4
2023-01-01 00:50:00,7.2,0.0,-12.2,-4.4
2023-01-01 01:00:00,7.2,-0.09999999999999999,-12.116666666666665,-4.4
2023-01-01 01:10:00,7.200000000000001,-0.19999999999999998,-12.033333333333335,-4.4
2023-01-01 01:20:00,7.2,-0.3,-11.95,-4.4
2023-01-01 01:30:00,7.2,-0.39999999999999997,-11.866666666666667,-4.4
2023-01-01 01:40:00,7.199999999999999,-0.5,-11.783333333333333,-4.4
2023-01-01 01:50:00,7.2,-0.6,-11.7,-4.4
2023-01-01 02:00:00,7.116666666666667,-0.6,-11.6,-4.316666666666666
2023-01-01 02:10:00,7.033333333333334,-0.6,-11.5,-4.233333333333334
2023-01-01 02:20:00,6.95,-0.6,-11.399999999999999,-4.15
2023-01-01 02:30:00,6.866666666666667,-0.6,-11.3,-4.066666666666666
2023-01-01 02:40:00,6.783333333333333,-0.6,-11.2,-3.9833333333333334
2023-01-01 02:50:00,6.7,-0.6,-11.1,-3.9
2023-01-01 03:00:00,6.6000000000000005,-0.7833333333333333,-11.1,-3.8
2023-01-01 03:10:00,6.500000000000001,-0.9666666666666667,-11.1,-3.7
2023-01-01 03:20:00,6.4,-1.15,-11.1,-3.5999999999999996
2023-01-01 03:30:00,6.300000000000001,-1.3333333333333333,-11.1,-3.5
2023-01-01 03:40:00,6.199999999999999,-1.5166666666666666,-11.1,-3.4
2023-01-01 03:50:00,6.1,-1.7,-11.1,-3.3
2023-01-01 04:00:00,5.816666666666666,-1.7000000000000002,-11.016666666666666,-3.3
2023-01-01 04:10:00,5.533333333333334,-1.7000000000000002,-10.933333333333334,-3.3
2023-01-01 04:20:00,5.25,-1.7,-10.85,-3.3
2023-01-01 04:30:00,4.966666666666667,-1.7000000000000002,-10.766666666666666,-3.3
2023-01-01 04:40:00,4.683333333333334,-1.7,-10.683333333333334,-3.3
2023-01-01 04:50:00,4.4,-1.7,-10.6,-3.3
2023-01-01 05:00:00,4.4,-1.7000000000000002,-10.600000000000001,-3.4
2023-01-01 05:10:00,4.4,-1.7000000000000002,-10.600000000000001,-3.5
2023-01-01 05:20:00,4.4,-1.7,-10.6,-3.5999999999999996
2023-01-01 05:30:00,4.4,-1.7000000000000002,-10.6,-3.6999999999999997
2023-01-01 05:40:00,4.4,-1.7,-10.6,-3.8
2023-01-01 05:50:00,4.4,-1.7,-10.6,-3.9
2023-01-01 06:00:00,4.683333333333334,-1.6,-10.600000000000001,-3.9833333333333334
2023-01-01 06:10:00,4.966666666666667,-1.5000000000000002,-10.600000000000001,-4.066666666666666
2023-01-01 06:20:00,5.25,-1.4,-10.6,-4.15
2023-01-01 06:30:00,5.533333333333333,-1.3000000000000003,-10.6,-4.233333333333333
2023-01-01 06:40:00,5.816666666666666,-1.2,-10.6,-4.316666666666666
2023-01-01 06:50:00,6.1,-1.1,-10.6,-4.4
2023-01-01 07:00:00,5.916666666666666,-1.0166666666666668,-10.5,-4.216666666666667
2023-01-01 07:10:00,5.733333333333334,-0.9333333333333335,-10.4,-4.033333333333334
2023-01-01 07:20:00,5.55,-0.8500000000000001,-10.3,-3.85
2023-01-01 07:30:00,5.366666666666667,-0.7666666666666667,-10.2,-3.666666666666667
2023-01-01 07:40:00,5.183333333333334,-0.6833333333333333,-10.1,-3.4833333333333334
2023-01-01 07:50:00,5.0,-0.6,-10.0,-3.3
2023-01-01 08:00:00,5.466666666666667,-0.5,-9.816666666666666,-3.216666666666667
2023-01-01 08:10:00,5.933333333333334,-0.4,-9.633333333333335,-3.1333333333333333
2023-01-01 08:20:00,6.4,-0.3,-9.45,-3.05
2023-01-01 08:30:00,6.866666666666666,-0.2,-9.266666666666667,-2.966666666666667
2023-01-01 08:40:00,7.333333333333333,-0.09999999999999998,-9.083333333333334,-2.8833333333333333
2023-01-01 08:50:00,7.8,0.0,-8.9,-2.8
2023-01-01 09:00:00,7.983333333333333,0.18333333333333335,-8.533333333333333,-2.7
2023-01-01 09:10:00,8.166666666666668,0.3666666666666667,-8.166666666666668,-2.6
2023-01-01 09:20:00,8.35,0.55,-7.800000000000001,-2.5
2023-01-01 09:30:00,8.533333333333333,0.7333333333333334,-7.433333333333334,-2.4000000000000004
2023-01-01 09:40:00,8.716666666666667,0.9166666666666667,-7.066666666666667,-2.3
2023-01-01 09:50:00,8.9,1.1,-6.7,-2.2
2023-01-01 10:00:00,8.983333333333334,1.3833333333333333,-6.416666666666667,-2.0166666666666666
2023-01-01 10:10:00,9.066666666666668,1.6666666666666667,-6.133333333333335,-1.8333333333333337
2023-01-01 10:20:00,9.15,1.95,-5.85,-1.6500000000000001
2023-01-01 10:30:00,9.233333333333334,2.2333333333333334,-5.566666666666666,-1.4666666666666668
2023-01-01 10:40:00,9.316666666666666,2.5166666666666666,-5.283333333333333,-1.2833333333333334
2023-01-01 10:50:00,9.4,2.8,-5.0,-1.1
2023-01-01 11:00:00,9.5,3.066666666666667,-4.716666666666667,-1.2000000000000002
2023-01-01 11:10:00,9.600000000000001,3.3333333333333335,-4.433333333333334,-1.3000000000000003
2023-01-01 11:20:00,9.7,3.6,-4.15,-1.4
2023-01-01 11:30:00,9.8,3.866666666666667,-3.8666666666666667,-1.5
2023-01-01 11:40:00,9.9,4.133333333333334,-3.583333333333333,-1.6
2023-01-01 11:50:00,10.0,4.4,-3.3,-1.7
2023-01-01 12:00:00,10.100000000000001,4.5,-3.1166666666666667,-1.7833333333333334
2023-01-01 12:10:00,10.200000000000001,4.6000000000000005,-2.9333333333333336,-1.866666666666667
2023-01-01 12:20:00,10.3,4.7,-2.75,-1.9500000000000002
2023-01-01 12:30:00,10.4,4.8,-2.566666666666667,-2.0333333333333337
2023-01-01 12:40:00,10.5,4.9,-2.3833333333333333,-2.1166666666666667
2023-01-01 12:50:00,10.6,5.0,-2.2,-2.2
2023-01-01 13:00:00,10.683333333333334,5.1000000000000005,-2.0166666666666666,-2.3833333333333333
2023-01-01 13:10:00,10.766666666666667,5.2,-1.8333333333333337,-2.566666666666667
2023-01-01 13:20:00,10.85,5.3,-1.6500000000000001,-2.75
2023-01-01 13:30:00,10.933333333333334,5.4,-1.4666666666666668,-2.933333333333333
2023-01-01 13:40:00,11.016666666666666,5.5,-1.2833333333333334,-3.1166666666666667
2023-01-01 13:50:00,11.1,5.6,-1.1,-3.3
2023-01-01 14:00:00,11.566666666666666,5.683333333333334,-1.1,-3.216666666666667
2023-01-01 14:10:00,12.033333333333333,5.766666666666667,-1.1,-3.1333333333333333
2023-01-01 14:20:00,12.5,5.85,-1.1,-3.05
2023-01-01 14:30:00,12.966666666666665,5.933333333333334,-1.1,-2.966666666666667
2023-01-01 14:40:00,13.433333333333334,6.016666666666666,-1.1,-2.8833333333333333
2023-01-01 14:50:00,13.9,6.1,-1.1,-2.8
2023-01-01 15:00:00,13.9,6.016666666666667,-1.1,-2.8000000000000003
2023-01-01 15:10:00,13.9,5.933333333333334,-1.1,-2.8
2023-01-01 15:20:00,13.9,5.85,-1.1,-2.8
2023-01-01 15:30:00,13.899999999999999,5.766666666666667,-1.1,-2.8
2023-01-01 15:40:00,13.9,5.683333333333334,-1.1,-2.8
2023-01-01 15:50:00,13.9,5.6,-1.1,-2.8
2023-01-01 16:00:00,13.433333333333334,5.6000000000000005,-1.1,-3.166666666666667
2023-01-01 16:10:00,12.966666666666667,5.6,-1.1,-3.533333333333333
2023-01-01 16:20:00,12.5,5.6,-1.1,-3.9
2023-01-01 16:30:00,12.033333333333333,5.6,-1.1,-4.266666666666667
2023-01-01 16:40:00,11.566666666666666,5.6,-1.1,-4.633333333333334
2023-01-01 16:50:00,11.1,5.6,-1.1,-5.0
2023-01-01 17:00:00,11.1,5.4,-1.2000000000000002,-5.1000000000000005
2023-01-01 17:10:00,11.1,5.2,-1.3000000000000003,-5.2
2023-01-01 17:20:00,11.1,5.0,-1.4,-5.3
2023-01-01 17:30:00,11.1,4.800000000000001,-1.5,-5.4
2023-01-01 17:40:00,11.1,4.6,-1.6,-5.5
2023-01-01 17:50:00,11.1,4.4,-1.7,-5.6
2023-01-01 18:00:00,11.016666666666666,4.4,-1.7833333333333334,-5.683333333333334
2023-01-01 18:10:00,10.933333333333334,4.4,-1.866666666666667,-5.766666666666667
2023-01-01 18:20:00,10.85,4.4,-1.9500000000000002,-5.85
2023-01-01 18:30:00,10.766666666666666,4.4,-2.0333333333333337,-5.933333333333334
2023-01-01 18:40:00,10.683333333333334,4.4,-2.1166666666666667,-6.016666666666666
2023-01-01 18:50:00,10.6,4.4,-2.2,-6.1
2023-01-01 19:00:00,10.600000000000001,4.316666666666666,-2.0166666666666666,-6.199999999999999
2023-01-01 19:10:00,10.600000000000001,4.233333333333334,-1.8333333333333337,-6.300000000000001
2023-01-01 19:20:00,10.6,4.15,-1.6500000000000001,-6.4
2023-01-01 19:30:00,10.6,4.066666666666666,-1.4666666666666668,-6.5
