,Location,Wall_Rvalue,WWR,SHGC
0,San Francisco,2.51838444,0.25,0.25
1,San Francisco,2.51838444,0.25,0.4
2,San Francisco,2.51838444,0.25,0.6
3,San Francisco,2.51838444,0.4,0.25
4,San Francisco,2.51838444,0.4,0.4
5,San Francisco,2.51838444,0.4,0.6
6,San Francisco,2.51838444,0.6,0.25
7,San Francisco,2.51838444,0.6,0.4
8,San Francisco,2.51838444,0.6,0.6
9,San Francisco,3.85682652,0.25,0.25
10,San Francisco,3.85682652,0.25,0.4
11,San Francisco,3.85682652,0.25,0.6
12,San Francisco,3.85682652,0.4,0.25
13,San Francisco,3.85682652,0.4,0.4
14,San Francisco,3.85682652,0.4,0.6
15,San Francisco,3.85682652,0.6,0.25
16,San Francisco,3.85682652,0.6,0.4
17,San Francisco,3.85682652,0.6,0.6
18,San Francisco,5.23049076,0.25,0.25
19,San Francisco,5.23049076,0.25,0.4
20,San Francisco,5.23049076,0.25,0.6
21,San Francisco,5.23049076,0.4,0.25
22,San Francisco,5.23049076,0.4,0.4
23,San Francisco,5.23049076,0.4,0.6
24,San Francisco,5.23049076,0.6,0.25
25,San Francisco,5.23049076,0.6,0.4
26,San Francisco,5.23049076,0.6,0.6
27,Sacramento,2.51838444,0.25,0.25
28,Sacramento,2.51838444,0.25,0.4
29,Sacramento,2.51838444,0.25,0.6
30,Sacramento,2.51838444,0.4,0.25
31,Sacramento,2.51838444,0.4,0.4
32,Sacramento,2.51838444,0.4,0.6
33,Sacramento,2.51838444,0.6,0.25
34,Sacramento,2.51838444,0.6,0.4
35,Sacramento,2.51838444,0.6,0.6
36,Sacramento,3.85682652,0.25,0.25
37,Sacramento,3.85682652,0.25,0.4
38,Sacramento,3.85682652,0.25,0.6
39,Sacramento,3.85682652,0.4,0.25
40,Sacramento,3.85682652,0.4,0.4
41,Sacramento,3.85682652,0.4,0.6
42,Sacramento,3.85682652,0.6,0.25
43,Sacramento,3.85682652,0.6,0.4
44,Sacramento,3.85682652,0.6,0.6
45,Sacramento,5.23049076,0.25,0.25
46,Sacramento,5.23049076,0.25,0.4
47,Sacramento,5.23049076,0.25,0.6
48,Sacramento,5.23049076,0.4,0.25
49,Sacramento,5.23049076,0.4,0.4
50,Sacramento,5.23049076,0.4,0.6
51,Sacramento,5.23049076,0.6,0.25
52,Sacramento,5.23049076,0.6,0.4
53,Sacramento,5.23049076,0.6,0.6
54,Chicago,2.51838444,0.25,0.25
55,Chicago,2.51838444,0.25,0.4
56,Chicago,2.51838444,0.25,0.6
57,Chicago,2.51838444,0.4,0.25
58,Chicago,2.51838444,0.4,0.4
59,Chicago,2.51838444,0.4,0.6
60,Chicago,2.51838444,0.6,0.25
61,Chicago,2.51838444,0.6,0.4
62,Chicago,2.51838444,0.6,0.6
63,Chicago,3.85682652,0.25,0.25
64,Chicago,3.85682652,0.25,0.4
65,Chicago,3.85682652,0.25,0.6
66,Chicago,3.85682652,0.4,0.25
67,Chicago,3.85682652,0.4,0.4
68,Chicago,3.85682652,0.4,0.6
69,Chicago,3.85682652,0.6,0.25
70,Chicago,3.85682652,0.6,0.4
71,Chicago,3.85682652,0.6,0.6
72,Chicago,5.23049076,0.25,0.25
73,Chicago,5.23049076,0.25,0.4
74,Chicago,5.23049076,0.25,0.6
75,Chicago,5.23049076,0.4,0.25
76,Chicago,5.23049076,0.4,0.4
77,Chicago,5.23049076,0.4,0.6
78,Chicago,5.23049076,0.6,0.25
79,Chicago,5.23049076,0.6,0.4
80,Chicago,5.23049076,0.6,0.6
81,New York,2.51838444,0.25,0.25
82,New York,2.51838444,0.25,0.4
83,New York,2.51838444,0.25,0.6
84,New York,2.51838444,0.4,0.25
85,New York,2.51838444,0.4,0.4
86,New York,2.51838444,0.4,0.6
87,New York,2.51838444,0.6,0.25
88,New York,2.51838444,0.6,0.4
89,New York,2.51838444,0.6,0.6
90,New York,3.85682652,0.25,0.25
91,New York,3.85682652,0.25,0.4
92,New York,3.85682652,0.25,0.6
93,New York,3.85682652,0.4,0.25
94,New York,3.85682652,0.4,0.4
95,New York,3.85682652,0.4,0.6
96,New York,3.85682652,0.6,0.25
97,New York,3.85682652,0.6,0.4
98,New York,3.85682652,0.6,0.6
99,New York,5.23049076,0.25,0.25
100,New York,5.23049076,0.25,0.4
101,New York,5.23049076,0.25,0.6
102,New York,5.23049076,0.4,0.25
103,New York,5.23049076,0.4,0.4
104,New York,5.23049076,0.4,0.6
105,New York,5.23049076,0.6,0.25
106,New York,5.23049076,0.6,0.4
107,New York,5.23049076,0.6,0.6
