,Total_Cooling_kwh
0,28.02743298173362
1,48.02868073389322
2,90.22934118503444
3,45.126249204115
4,99.95584696778307
5,253.85681407035796
6,82.06230408913717
7,233.24092872543062
8,659.5985007672649
9,34.873309455741506
10,60.21190847294342
11,114.31693434264292
12,55.61769838092167
13,123.10081161736763
14,310.37991873552085
15,98.69782092499955
16,278.0778875992501
17,768.697989601961
18,40.11975536745535
19,69.19087333231053
20,132.56219665486182
21,63.41134485475901
22,140.33382192438577
23,349.5228780751905
24,111.03452860343364
25,309.6899770277497
26,841.6289973194297
27,1388.9698551861147
28,1600.6722959559531
29,1896.1658421305174
30,1551.702111870622
31,1911.9662191612742
32,2436.4350050922226
33,1779.3032949460262
34,2354.690256631864
35,3239.3469314903946
36,1413.3781902072558
37,1636.2026368690538
38,1948.7444660307187
39,1583.203354198729
40,1960.782960248886
41,2515.5768738521865
42,1819.3491005591425
43,2422.321263964919
44,3356.796850904615
45,1434.0690969770394
46,1662.9702375020258
47,1985.2997669909068
48,1607.290654561072
49,1995.3916485177313
50,2568.3344708032223
51,1848.282492673542
52,2468.3624795592177
53,3431.549356356338
54,1266.2483953994229
55,1460.492573496849
56,1722.1765749891636
57,1412.9352275825795
58,1723.352227072948
59,2142.268602352318
60,1603.457682311496
61,2064.078753422145
62,2678.170949958026
63,1289.8768614427372
64,1492.3921582149253
65,1766.3388057379516
66,1440.3130136547036
67,1763.5880469454517
68,2198.676295515238
69,1635.7540642563092
70,2112.164474344989
71,2748.289656874595
72,1308.9444419564254
73,1515.3010677605141
74,1795.711744813272
75,1461.249535767921
76,1790.7880004515773
77,2234.532027872464
78,1658.9980913819613
79,2143.798348327729
80,2791.890354825353
81,1630.6710346524442
82,1822.9507249628305
83,2078.7000985207214
84,1768.0815521724635
85,2077.539629755018
86,2501.175795662438
87,1951.0001271881695
88,2419.8731633462985
89,3077.895306391492
90,1638.7839335782885
91,1840.0110157118456
92,2109.488472766432
93,1781.992560169989
94,2106.1324519097197
95,2551.4592914113737
96,1972.8719372478379
97,2461.889289533393
98,3151.379402222223
99,1646.2728930068902
100,1852.3497508685289
101,2129.617036355154
102,1793.156852004724
103,2125.250736230451
104,2582.406925108668
105,1988.6587848151999
106,2488.4664167400465
107,3195.7721840605136
